t,"elc_spot_dh,up,ALL","elk_spot,dw,ALL"
2023-01-01 01:00:00,2.0199999999999996,1.9999999999999998
2023-01-01 02:00:00,1.39,1.3699999999999999
2023-01-01 03:00:00,0.09999999999999999,0.08
2023-01-01 04:00:00,0.09,0.07
2023-01-01 05:00:00,0.060000000000000005,0.04
2023-01-01 06:00:00,0.09,0.07
2023-01-01 07:00:00,0.09999999999999999,0.08
2023-01-01 08:00:00,0.54,0.52
2023-01-01 09:00:00,2.0399999999999996,2.02
2023-01-01 10:00:00,3.11,3.0900000000000003
2023-01-01 11:00:00,4.4399999999999995,4.42
2023-01-01 12:00:00,6.069999999999999,6.05
2023-01-01 13:00:00,6.069999999999999,6.05
2023-01-01 14:00:00,5.6899999999999995,5.67
2023-01-01 15:00:00,17.720000000000002,17.7
2023-01-01 16:00:00,24.12,24.099999999999998
2023-01-01 17:00:00,36.55,36.53
2023-01-01 18:00:00,46.04,46.02
2023-01-01 19:00:00,55.58,55.56
2023-01-01 20:00:00,54.96,54.940000000000005
2023-01-01 21:00:00,49.239999999999995,49.22
2023-01-01 22:00:00,45.0,44.980000000000004
2023-01-01 23:00:00,45.97,45.95
