process,source_sink,node,conversion_coeff,capacity,vom_cost,ramp_up,ramp_down,initial_load,initial_flow
solar_collector,sink,dh_htf,1,1.4,0.0,1,1,0.7,0.7
malervej_boiler1,source,fuel_ng,1,18.75,556.5181732678991,1,1,0.7,0.7
malervej_boiler1,sink,dh_htf,1,15.0,0.0,1,1,0.7,0.7
malervej_boiler2,source,fuel_ng,1,18.75,556.5181732678991,1,1,0.7,0.7
malervej_boiler2,sink,dh_htf,1,15.0,0.0,1,1,0.7,0.7
helges_hoj_boiler,source,fuel_oil,1,18.75,601.0809612252569,1,1,0.7,0.7
helges_hoj_boiler,sink,dh_htf,1,15.0,0.0,1,1,0.7,0.7
molleholmen_boiler1,source,fuel_oil,1,10.0,601.0809612252569,1,1,0.7,0.7
molleholmen_boiler1,sink,dh_htf,1,8.0,0.0,1,1,0.7,0.7
molleholmen_boiler2,source,fuel_oil,1,10.0,601.0809612252569,1,1,0.7,0.7
molleholmen_boiler2,sink,dh_htf,1,8.0,0.0,1,1,0.7,0.7
HP_rock,source,elc,1,0.26666666666666666,129.0,1,1,0.7,0.7
HP_rock,sink,dh_htf,1,0.8,0.0,1,1,0.7,0.7
HP_EVC,source,elc,1,0.4666666666666666,129.0,1,1,0.7,0.7
HP_EVC,sink,dh_htf,1,1.4,0.0,1,1,0.7,0.7
HP_EVC2,source,elc,1,0.6666666666666666,129.0,1,1,0.7,0.7
HP_EVC2,sink,dh_htf,1,2.0,0.0,1,1,0.7,0.7
HP_City2,source,elc,1,0.43333333333333335,129.0,1,1,0.7,0.7
HP_City2,sink,dh_htf,1,1.3,0.0,1,1,0.7,0.7
HP_Nordea,source,elc,1,0.5,129.0,1,1,0.7,0.7
HP_Nordea,sink,dh_htf,1,1.5,0.0,1,1,0.7,0.7
HP_Mohov,source,elc,1,0.5,129.0,1,1,0.7,0.7
HP_Mohov,sink,dh_htf,1,1.5,0.0,1,1,0.7,0.7
HP_globalconnect1,source,elc,1,0.6666666666666666,129.0,1,1,0.7,0.7
HP_globalconnect1,sink,dh_htf,1,2.0,0.0,1,1,0.7,0.7
HP_globalconnect2,source,elc,1,0.6666666666666666,129.0,1,1,0.7,0.7
HP_globalconnect2,sink,dh_htf,1,2.0,0.0,1,1,0.7,0.7
HP_copenhagen_markets,source,elc,1,1.0666666666666667,129.0,1,1,0.7,0.7
HP_copenhagen_markets,sink,dh_htf,1,3.2,0.0,1,1,0.7,0.7
pit_sto_charge,source,veks_grid,1,1.0,0.0,1,1,0.7,0.7
pit_sto_charge,sink,pit_heat_sto,1,1.0,0.0,1,1,0.7,0.7
pit_sto_discharge,source,pit_heat_sto,1,1.0,0.0,1,1,0.7,0.7
pit_sto_discharge,sink,dh_htf,1,1.0,0.0,1,1,0.7,0.7
